00000000,none,0.0,0,Genesis
9a5b16b4d9586c100468e54f225111efd6ce9ff9720fb9e0146b1941a27e032d,00000000,44.18478466338875,1,1
9a8916c8d90be45d403d3b08b4ecf65ec8ec1af3780bd6916e49486e19f0b6fe,9a5b16b4d9586c100468e54f225111efd6ce9ff9720fb9e0146b1941a27e032d,58.92223783472417,2,1
52fb1dc16b789c292e26d9c685caa0271e7ae167a687e768e626ae6de150da6b,9a8916c8d90be45d403d3b08b4ecf65ec8ec1af3780bd6916e49486e19f0b6fe,98.50347248174174,3,1
3c49f83460bf6d0f34c05adf9c9592255846cbb62c583849fc159616c4701e44,9a8916c8d90be45d403d3b08b4ecf65ec8ec1af3780bd6916e49486e19f0b6fe,67.91303035139461,3,0
8219bfecc360094c2200a53f5775a7c9762b3719a291c3ae8eb55e8ccb35e7bc,52fb1dc16b789c292e26d9c685caa0271e7ae167a687e768e626ae6de150da6b,101.6691846711042,4,1
c6199ecf55cf90e4afb105427fade19e0151c2a52c1d920079dad94ebbea1101,3c49f83460bf6d0f34c05adf9c9592255846cbb62c583849fc159616c4701e44,95.00988958403285,4,0
76b5be3f1635bc9bdf7e7739d4268f5db242631b79b3b019528369e733770fcf,c6199ecf55cf90e4afb105427fade19e0151c2a52c1d920079dad94ebbea1101,97.79658841333372,5,0
549aa61cc48ffd93ac996242a5497cdc63359040424d42e1b1e3f1d6e16a814e,76b5be3f1635bc9bdf7e7739d4268f5db242631b79b3b019528369e733770fcf,117.20780897438155,6,1
dacc028019fd45d5ac0c344df4f0273e22dd3b5072528a92800a7152ae0c5775,549aa61cc48ffd93ac996242a5497cdc63359040424d42e1b1e3f1d6e16a814e,218.35891209938808,7,1
cd69fd769773af5c8a07d623ecbb7035a45590cb5c27f29b428e292659856196,549aa61cc48ffd93ac996242a5497cdc63359040424d42e1b1e3f1d6e16a814e,141.97598121458597,7,0
252e962acc53a682f514d0d74cd33de5daac3e5ea2d71c56b87b40faf199f961,cd69fd769773af5c8a07d623ecbb7035a45590cb5c27f29b428e292659856196,193.66898553379443,8,0
58331026b4356218b4779f4c6e26b951ae0b6bd4f32c24feec17fbefdca28d3a,252e962acc53a682f514d0d74cd33de5daac3e5ea2d71c56b87b40faf199f961,302.8417035741526,9,1
