00000000,none,0.0,0,Genesis
79ac07d3eee892869524f573ff864cf99d1346ee3d763a231fa9ffd38c271419,00000000,37.07109456378643,1,0
e5155849ef81a72d6f754a0e500c09b3e6ed490ef9d4ed0dcda6a4ed51f46566,79ac07d3eee892869524f573ff864cf99d1346ee3d763a231fa9ffd38c271419,287.6501215889244,2,0
76dcef31556fdf40a548d0ff63427dc99ef88a610f35f93eee1cd50fc14f36e6,79ac07d3eee892869524f573ff864cf99d1346ee3d763a231fa9ffd38c271419,432.1651859815619,2,89
cf06d88e987632c5179348a2c582ac791b969672cb54de1d3565371c0ac2aeec,79ac07d3eee892869524f573ff864cf99d1346ee3d763a231fa9ffd38c271419,566.9279411142616,2,49
1081492adf9ec8cea81a957e6cc7609a6a58d5baab8760eeebee844f68b5979d,e5155849ef81a72d6f754a0e500c09b3e6ed490ef9d4ed0dcda6a4ed51f46566,484.40725897343987,3,0
f6c1f76a377c809c345b96789718c2f31f8d5e7b93252ae5e620ce81438daa47,e5155849ef81a72d6f754a0e500c09b3e6ed490ef9d4ed0dcda6a4ed51f46566,461.37044550783827,3,8
b832e8f7364e3340fc0530913631e428b76b28e984c514fc2bbce90f5dcb87be,cf06d88e987632c5179348a2c582ac791b969672cb54de1d3565371c0ac2aeec,734.6934858010003,3,49
17e47cdce6b2848c52f5e470ecc55fd53467ec055eceac4530a6f16d6fe7e1ff,1081492adf9ec8cea81a957e6cc7609a6a58d5baab8760eeebee844f68b5979d,729.6405395840769,4,73
d988891a81209b9903fa5e774ff75fab39aa915e32e71921304ba83b84cc4ced,1081492adf9ec8cea81a957e6cc7609a6a58d5baab8760eeebee844f68b5979d,987.007825802564,4,31
8f6bce18a33f71bfb8eefb3e3e66a2a8da3ed7dbbf9d83add850c3e741719106,b832e8f7364e3340fc0530913631e428b76b28e984c514fc2bbce90f5dcb87be,1000.2812725198808,4,49
e2836438333b156e9583fbf40e3b87977254596421ba14041907564612fd8d37,17e47cdce6b2848c52f5e470ecc55fd53467ec055eceac4530a6f16d6fe7e1ff,1199.9818894827094,5,85
9a3f29ca9671b24d40cb2c3a302a288f8389021e6cf90c5cdb332af165ba17b9,17e47cdce6b2848c52f5e470ecc55fd53467ec055eceac4530a6f16d6fe7e1ff,1372.952463019071,5,27
6e9544b0ef2b4483ae0bb00700613e3284267bc564d88dab25fa7fcf41c8d4f6,8f6bce18a33f71bfb8eefb3e3e66a2a8da3ed7dbbf9d83add850c3e741719106,1196.118332495976,5,49
1346ba787e6ecc21a6e7d62945bd091c1e5390808f7a1dbc1dae16eff8e82ecb,e2836438333b156e9583fbf40e3b87977254596421ba14041907564612fd8d37,1329.4013586028548,6,80
28c786de0b73000390e57dca0dc7998093586b27b013380c01df2609451eafc3,6e9544b0ef2b4483ae0bb00700613e3284267bc564d88dab25fa7fcf41c8d4f6,1782.1032222137212,6,49
fd58f83e18fa95b3c281cee468fcfd5ae347082df35350d38654381b7910d071,1346ba787e6ecc21a6e7d62945bd091c1e5390808f7a1dbc1dae16eff8e82ecb,1672.6916094308315,7,23
e837ab815226b51b12bb68657a66f13118f7389cf7a46a2c18e07b4b2985ab2b,1346ba787e6ecc21a6e7d62945bd091c1e5390808f7a1dbc1dae16eff8e82ecb,1728.4882568819362,7,56
f6a861ee842e7982f1b312655c4e8526cd915a44ce7969da1f868ded8637547b,fd58f83e18fa95b3c281cee468fcfd5ae347082df35350d38654381b7910d071,2032.5973145736064,8,0
64c05bc10eceee088f6638a3a9fa1e7dd9c646d0adcd5ba0aaa77a3b8d2599ce,fd58f83e18fa95b3c281cee468fcfd5ae347082df35350d38654381b7910d071,2105.223259934514,8,29
